NewQuestion,MC,,,
Title,,,,
QuestionText,"What element is used to configure a new paragraph?",,,
Points,1,,,
Difficulty,1,,,
Option,0.00,"new",,
Option,0.00,"paragraph",,
Option,100.00,"p",,
Option,0.00,"div",,
Option,0.00,"id",,
Option,0.00,"par",,
Option,0.00,"dblspace",,
NewQuestion,MC,,,
Title,,,,
QuestionText,"What element is used to create the main heading on the page?",,,
Points,1,,,
Difficulty,1,,,
Option,100.00,"h1",,
Option,0.00,"h9",,
Option,0.00,"head",,
Option,0.00,"h",,
Option,0.00,"hI",,
Option,0.00,"hi",,
Option,0.00,"main",,
NewQuestion,MC,,,
Title,,,,
QuestionText,"Which element is used to force the browser to display the next web object (either text or another element) on a new line?",,,
Points,1,,,
Difficulty,1,,,
Option,0.00,"line",,
Option,0.00,"p",,
Option,100.00,"br",,
Option,0.00,"hr",,
Option,0.00,"break",,
Option,0.00,"par",,
NewQuestion,MC,,,
Title,,,,
QuestionText,"Which of the following is a true statement?",,,
Points,1,,,
Difficulty,1,,,
Option,0.00,"The content that displays in the main browser window is contained in the head section.",,
Option,100.00,"The content that displays in the main browser window is contained in the body section.",,
Option,0.00,"Information about the web page (metadata) is contained in the body section.",,
Option,0.00,"You can put special display content, like footnotes, after the /html element.",,
Option,0.00,"All of these are true.",,
NewQuestion,MC,,,
Title,,,,
QuestionText,"Choose the special character that is used to indicate a blank space.",,,
Points,1,,,
Difficulty,1,,,
Option,0.00,"&blank;",,
Option,100.00,"&nbsp;",,
Option,0.00,"&copy;",,
Option,0.00,"&space;",,
Option,0.00,"& ;",,
Option,0.00,"&_;",,
NewQuestion,MC,,,
Title,,,,
QuestionText,"Choose the preferred element to use when emphasizing text that is intended to be displayed in italic font style.",,,
Points,1,,,
Difficulty,1,,,
Option,0.00,"i",,
Option,0.00,"strong",,
Option,100.00,"em",,
Option,0.00,"b",,
NewQuestion,MC,,,
Title,,,,
QuestionText,"Choose the preferred element to use when displaying text in italic font style when there is no special emphasis on the words in the text.",,,
Points,1,,,
Difficulty,1,,,
Option,0.00,"em",,
Option,100.00,"i",,
Option,0.00,"strong",,
Option,0.00,"b",,
NewQuestion,MC,,,
Title,,,,
QuestionText,"The text contained between title tags is:",,,
Points,1,,,
Difficulty,1,,,
Option,0.00,"Not displayed by browsers.",,
Option,100.00,"Displayed in the title bar and the tabs of the browser window.",,
Option,0.00,"Not used by search engines.",,
Option,0.00,"Invisible to the end-user viewing the page.",,
NewQuestion,MC,,,
Title,,,,
QuestionText,"The meta elements are coded in the ___________ section of a web page document.",,,
Points,1,,,
Difficulty,1,,,
Option,0.00,"body",,
Option,100.00,"head",,
Option,0.00,"footer",,
Option,0.00,"DOCTYPE",,
Option,0.00,"section",,
Option,0.00,"paragraph",,
Option,0.00,"info",,
NewQuestion,MC,,,
Title,,,,
QuestionText,"The element used to create a horizontal line on a web page is:",,,
Points,1,,,
Difficulty,1,,,
Option,0.00,"h1",,
Option,0.00,"br",,
Option,100.00,"hr",,
Option,0.00,"div",,
Option,0.00,"rule",,
NewQuestion,MC,,,
Title,,,,
QuestionText,"The purpose of the ________ element is to contain information that would typically be some type of fine print or a disclaimer of some kind. ",,,
Points,1,,,
Difficulty,1,,,
Option,0.00,"dd",,
Option,100.00,"small",,
Option,0.00,"legal",,
Option,0.00,"em",,
Option,0.00,"cite",,
NewQuestion,MC,,,
Title,,,,
QuestionText,"Select the statement that is true.",,,
Points,1,,,
Difficulty,1,,,
Option,0.00,"A web page will not display in a browser unless it passes validation tests. ",,
Option,0.00,"A web page must pass HTML validation testing before it is used.",,
Option,0.00,"Validation testing guarantees that your web page will look good.",,
Option,100.00,"Invalid HTML code may cause browsers to render the pages slower than otherwise.",,
NewQuestion,MC,,,
Title,,,,
QuestionText,"Choose the preferred element to use when you want to display text using a bold font style.",,,
Points,1,,,
Difficulty,1,,,
Option,0.00,"i",,
Option,100.00,"strong",,
Option,0.00,"em",,
Option,0.00,"b",,
Option,0.00,"bold",,
NewQuestion,MC,,,
Title,,,,
QuestionText,"Which is a valid line of code?",,,
Points,1,,,
Difficulty,1,,,
Option,0.00,"<p><strong>Don't miss today's special!<strong></p>",,
Option,0.00,"<strong><p>Don't miss today's special!</strong></p>",,
Option,100.00,"<p><strong>Don't miss today's special!</strong></p>",,
Option,0.00,"<p><strong>Don't miss today's special!<strong><p>",,
Option,0.00,"<p>Don't miss today's special!<p>",,
NewQuestion,MC,,,
Title,,,,
QuestionText,"Which is a VALID line of code?",,,
Points,1,,,
Difficulty,1,,,
Option,100.00,"<!DOCTYPE html><html><head><title>Title of Page</title></head><body><h1>Main Page</h1></body></html>",,
Option,0.00,"b.<DOCTYPE html><html><head><title>Title of Page</title></head><body><h1>Main Page</h1></body></html>",,
Option,0.00,"c.<DOCTYPE html><html><head><title>Title of Page</title><h1>Main Page<h1></head><body><p>This is a paragraph</p></body></html>",,
Option,0.00,"d.<!DOCTYPE html><html><head><title>Title of Page</title></head><body><h1>Main Page</h1></body>",,
Option,0.00,"e.<!DOCTYPE html><html><head><p>This is a paragraph</p><title>Title of Page</title></head><body><h1>Main Page<h1><body><html>",,
NewQuestion,MC,,,
Title,,,,
QuestionText,"Which is an INVALID line of code?",,,
Points,1,,,
Difficulty,1,,,
Option,0.00,"a.<!DOCTYPE html><html><head><title>Text in Title Bar</title></head><body><h1>Main Page</h1></body></html>",,
Option,100.00,"b.<h1><p>This is a paragraph</p></h1>",,
Option,0.00,"c.<head><title>Text in Title Bar</title></head><body><p>This is a paragraph</p></body>",,
Option,0.00,"d.<p><strong>This is a paragraph</strong> describing the many good things about HTML.</p>",,
Option,0.00,"<!DOCTYPE html><html><!-- index.html - the main page --><head><title>Text in Title Bar</title></head>",,
NewQuestion,MC,,,
Title,,,,
QuestionText,"Which line will cause validation errors?",,,
Points,1,,,
Difficulty,1,,,
Option,0.00,"a.<h1>Contact us today</h1>",,
Option,0.00,"b.<p><strong>Free Estimates</strong></p>",,
Option,0.00,"c.<p><strong><i>Sale Every Thursday</i></strong></p>",,
Option,100.00,"d.<h6><i>5 Ways We Can Help You<i></h6>",,
Feedback,"Every start tag needs a stop tag",,,
NewQuestion,MC,,,
Title,,,,
QuestionText,"Which is the valid line of code?",,,
Points,1,,,
Difficulty,1,,,
Option,100.00,"a.<h1>Meet the President</h1><p>This is a paragraph.</p><h2>Meet the Vice President</h2>",,
Option,0.00,"<h2><p>Road Warrior Laptops</p></h1>",,
Option,0.00,"<p><i><strong>Judging a book by its cover.</i></strong>",,
Option,0.00,"<h3>Journey into the World of Web.<p>This is a paragraph describing the World of Web.</p></h3>",,
Feedback,"The header elements are block elements. So is the p element. You can't put a block inside of a block. In this example the p would have to go after the </h3>.",,,
NewQuestion,MC,,,
Title,,,,
QuestionText,"The purpose of the ________  element is used to configure the main navigation area on a web page.",,,
Points,1,,,
Difficulty,1,,,
Option,0.00," header",,
Option,100.00,"nav",,
Option,0.00,"navigation",,
Option,0.00,"command",,
NewQuestion,MC,,,
Title,,,,
QuestionText,"The purpose of the ________ element is used to configure the headings for a web page document or section of a web page document.",,,
Points,1,,,
Difficulty,1,,,
Option,0.00," headings",,
Option,0.00," nav",,
Option,100.00,"header",,
Option,0.00,"head",,
NewQuestion,MC,,,
Title,,,,
QuestionText,"The purpose of the ________ element is used to configure the footer information on",,,
Points,1,,,
Difficulty,1,,,
Option,0.00,"a web page document.",,
Option,0.00," headings",,
Option,0.00," foot",,
Option,0.00,"div",,
Option,100.00,"footer",,
